Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,2078.500000,2078.500000,2025.119995,2028.089966,2028.089966,3596510000
2022-02-18,2028.000000,2038.130005,2004.729980,2009.329956,2009.329956,3871340000
2022-02-22,2008.680054,2016.430054,1970.630005,1980.170044,1980.170044,4007780000
2022-02-23,1980.989990,2001.550049,1942.270020,1944.089966,1944.089966,3814340000
2022-02-24,1942.300049,1996.839966,1894.449951,1996.010010,1996.010010,5070560000
2022-02-25,1995.839966,2040.930054,1988.010010,2040.930054,2040.930054,3941780000
2022-02-28,2040.310059,2059.439941,2020.510010,2048.090088,2048.090088,4594010000
2022-03-01,2047.239990,2050.649902,1995.420044,2008.510010,2008.510010,4679400000
2022-03-02,2009.010010,2065.709961,2009.010010,2058.870117,2058.870117,4409090000
2022-03-03,2059.149902,2067.280029,2019.979980,2032.410034,2032.410034,4062080000
2022-03-04,2031.160034,2031.160034,1985.510010,2000.900024,2000.900024,4558250000
2022-03-07,2001.030029,2007.459961,1951.209961,1951.329956,1951.329956,5506330000
2022-03-08,1951.589966,2004.479980,1951.589966,1963.010010,1963.010010,6237000000
2022-03-09,1964.449951,2022.550049,1964.449951,2016.290039,2016.290039,4220180000
2022-03-10,2013.619995,2013.619995,1982.109985,2011.670044,2011.670044,4008690000
2022-03-11,2012.439941,2027.390015,1979.069946,1979.670044,1979.670044,3877430000
2022-03-14,1979.790039,1983.430054,1932.709961,1941.719971,1941.719971,4757600000
2022-03-15,1942.079956,1969.849976,1942.079956,1968.969971,1968.969971,4331170000
2022-03-16,1970.109985,2031.800049,1970.109985,2030.719971,2030.719971,5002240000
2022-03-17,2029.880005,2065.020020,2019.209961,2065.020020,2065.020020,4174170000
2022-03-18,2064.689941,2087.550049,2059.689941,2086.139893,2086.139893,6681510000
2022-03-21,2085.820068,2093.379883,2054.780029,2065.939941,2065.939941,3961050000
2022-03-22,2066.919922,2097.610107,2066.919922,2088.340088,2088.340088,3962880000
2022-03-23,2086.699951,2086.699951,2051.449951,2052.209961,2052.209961,4014360000
2022-03-24,2054.100098,2075.489990,2047.270020,2075.439941,2075.439941,3573430000
2022-03-25,2075.889893,2081.320068,2064.199951,2077.979980,2077.979980,3577520000
2022-03-28,2078.300049,2078.300049,2049.540039,2078.060059,2078.060059,3696850000
2022-03-29,2079.310059,2138.449951,2079.310059,2133.100098,2133.100098,4239660000
2022-03-30,2132.830078,2132.830078,2084.370117,2091.070068,2091.070068,3665390000
2022-03-31,2090.909912,2100.739990,2069.219971,2070.129883,2070.129883,3782040000
2022-04-01,2071.219971,2091.729980,2068.050049,2091.110107,2091.110107,3828290000
2022-04-04,2091.530029,2096.929932,2076.500000,2095.439941,2095.439941,3833500000
2022-04-05,2095.000000,2103.360107,2043.079956,2046.040039,2046.040039,3906230000
2022-04-06,2044.810059,2044.810059,2005.050049,2016.939941,2016.939941,4137080000
2022-04-07,2016.880005,2024.000000,1984.150024,2009.800049,2009.800049,4054010000
2022-04-08,2009.060059,2017.079956,1993.040039,1994.560059,1994.560059,3453040000
2022-04-11,1993.530029,2004.680054,1976.589966,1980.319946,1980.319946,3452540000
2022-04-12,1983.130005,2027.550049,1980.959961,1986.939941,1986.939941,3451990000
2022-04-13,1987.329956,2028.790039,1987.329956,2025.099976,2025.099976,3273140000
2022-04-14,2025.170044,2034.219971,2004.969971,2004.979980,2004.979980,3634740000
2022-04-18,2003.270020,2003.270020,1981.689941,1990.130005,1990.130005,3509340000
2022-04-19,1990.209961,2035.790039,1990.209961,2030.770020,2030.770020,3197930000
2022-04-20,2032.390015,2052.080078,2032.390015,2038.189941,2038.189941,3678040000
